trial.type,trial,id,population,sex,ate,familiar.object.colour,novel.object.colour,novel.side,rewarded.side,treatment,distance.moved,mean.velocity,periphery.visits,time.in.periphery,latency.periphery,center.visits,time.in.center,latency.center,freezes,time.freezing,left.object.visits,time.with.left.object,latency.left.object,right.object.visits,time.with.right.object,latency.right.object,left.object.large.visits,time.with.left.object.large,latency.left.object.large,right.object.large.visits,time.with.right.object.large,latency.right.object.large,visits.novel.object,time.with.novel.object,latency.novel.object,visits.familiar.object,time.with.familiar.object,latency.familiar.object,time.with.rewarded.object,time.with.unrewarded.object,number.sessions.ate
baseline,2,B2,AxQ,F,NA,,,R,,novel,715.496,1.19731,16,545.986,0,15,52.3987,119.597,65,166.996,10,26.5993,119.797,5,10.1997,194.795,28,21.5995,118.797,14,13.7997,194.395,5,10.1997,194.795,10,26.5993,119.797,,,
baseline,2,B1,AxQ,F,NA,,,R,,familiar,814.566,1.35719,14,530.587,0,12,69.5983,19.7995,55,67.1983,8,24.5994,43.1989,2,1.19997,121.597,23,32.5992,41.9989,7,10.7997,23.9994,2,1.19997,121.597,8,24.5994,43.1989,,,
baseline,2,C2,AxQ,F,NA,,,L,,familiar,345.924,0.576747,1,600.385,0,0,0,-,72,199.195,0,0,-,0,0,-,2,0.79998,208.795,1,1.39996,221.994,0,0,-,0,0,-,,,
baseline,2,C1,AxQ,F,NA,,,L,,novel,541.297,0.901883,11,579.586,8.79978,5,14.7996,0,101,245.194,3,12.7997,0,1,1.59996,408.19,12,25.9994,8.79978,3,0.999975,407.59,3,12.7997,0,1,1.59996,NA,,,
baseline,2,E2,AxQ,F,NA,,,R,,familiar,1024.85,1.70756,16,563.986,0,9,33.1992,8.99977,14,17.7996,3,4.59988,12.7997,2,1.39996,110.397,16,26.3993,5.19987,16,31.3992,31.1992,2,1.39996,110.397,3,4.59988,12.7997,,,
baseline,2,G2,AxQ,F,NA,,,R,,familiar,506.051,0.843158,14,398.19,36.5991,14,202.195,0,94,230.594,9,47.9988,0,4,3.7999,175.396,21,156.196,34.7991,17,69.9983,73.7982,4,3.7999,175.396,9,47.9988,0,,,
baseline,2,G1,AxQ,F,NA,,,L,,novel,446.661,0.744206,9,559.986,17.9995,6,37.999,0,114,266.593,3,5.59986,17.5996,2,2.39994,264.593,9,25.5994,16.9996,4,8.59978,260.793,3,5.59986,17.5996,2,2.39994,NA,,,
baseline,2,A4,AxQ,M,NA,,,R,,NA,676.507,1.12716,34,513.587,0,11,64.3984,17.5996,74,86.5978,8,7.59981,29.9992,2,2.59993,17.5996,19,26.7993,28.7993,5,12.5997,15.7996,2,2.59993,17.5996,8,7.59981,29.9992,,,
baseline,2,B4,AxQ,M,NA,,,L,,NA,1314.87,2.19077,33,489.988,0,33,110.397,25.7994,13,9.59976,8,7.9998,131.997,12,15.1996,85.3979,36,64.9984,5.59986,33,54.1986,83.5979,8,7.9998,NA,12,15.1996,NA,,,
baseline,2,C4,AxQ,M,NA,,,R,,NA,542.449,0.903803,18,373.591,0,18,226.794,31.5992,96,145.596,5,9.99975,140.596,3,26.7993,68.9983,13,54.3986,9.19977,9,34.9991,66.5983,3,26.7993,68.9983,5,9.99975,140.596,,,
baseline,2,E4,AxQ,M,NA,,,L,,NA,477.346,0.795331,4,596.585,0,2,2.59993,128.597,67,165.996,1,0.199995,128.597,1,1.19997,291.593,4,3.19992,61.1985,3,4.79988,253.994,1,0.199995,NA,1,1.19997,NA,,,
baseline,2,G4,AxQ,M,NA,,,L,,NA,372.235,0.647381,11,537.787,0,6,34.5991,85.1979,88,290.793,2,2.99992,284.393,0,0,-,12,33.9992,48.9988,3,9.99975,67.9983,2,2.99992,NA,0,0,-,,,
baseline,3,H1,Paria,F,NA,,,R,,familiar,342.998,0.571488,1,600.185,0.199994,1,0.199994,0,68,401.39,0,0,-,0,0,-,3,3.9999,265.193,1,2.99992,547.186,0,0,-,0,0,-,,,
baseline,3,H2,Paria,F,NA,,,L,,novel,447.665,0.745878,14,447.189,0,13,153.196,168.196,86,330.792,4,10.5997,406.39,3,3.59991,301.592,8,37.5991,330.392,22,70.3982,106.197,4,10.5997,NA,3,3.59991,NA,,,
baseline,3,H4,Paria,M,NA,,,L,,NA,532.941,0.887961,6,569.186,0,5,31.1992,0.399989,48,199.195,2,10.7997,0.199994,2,4.39989,58.7985,13,25.9993,0,11,18.5995,57.3986,2,10.7997,NA,2,4.39989,NA,,,
