"ate","id","object.pair","object.side","trial","distance.moved","mean.velocity","periphery.visits","time.in.periphery","latency.to.periphery","center.visits","time.in.center","latency.to.center","left.object.visits","time.with.left.object","left.object.latency","right.object.visits","time.with.right.object","right.object.latency","rewarding.object.colour","reward.object.side","time.with.trained.object","time.with.untrained.object","green.object.preference","rewarding.object.preference","prop.rewarding.object.preference","time.with.both.objects","total.time","trial.type","weight"
"NA","7b","pair-b","left",23,751.97,2.50578,22,142.339,2.60255,22,157.955,0,5,55.0539,78.2766,9,99.4974,0,"blue","right",99.4974,55.0539,-44.4435,44.4435,0.643782355761485,154.5513,300.294,"test",0.13
"NA","8a","pair-b","right",23,829.89,2.76543,17,245.841,1.60157,17,54.4533,0,9,70.0686,0,7,24.8243,26.0255,"green","left",70.0686,24.8243,45.2443,45.2443,0.738396655598048,94.8929,300.2943,"test",0.17
"NA","8b","pair-b","right",23,1098.07,3.65911,17,212.008,0,16,88.2864,3.20314,11,50.6496,3.20314,9,36.8361,15.6153,"blue","left",50.6496,36.8361,-13.8135,13.8135,0.578947187940429,87.4857,300.2944,"test",0.14
"yes","1a","pair-3","left",24,234.541,0.782602,10,228.424,0.400392,9,71.2698,4.40431,2,18.418,198.795,2,274.068,0.400392,"blue","right",274.068,18.418,-255.65,255.65,0.937029464658137,292.486,299.6938,"refresher",0.29
"yes","1b","pair-3","right",24,343.636,1.14509,13,237.232,0,13,63.0617,122.92,3,260.855,0,1,11.8116,199.195,"green","left",260.855,11.8116,249.0434,249.0434,0.956681163002729,272.6666,300.2937,"refresher",0.1
"yes","2a","pair-3","left",24,255.306,0.851891,11,272.467,3.20314,11,27.4269,0.400392,0,0,300,2,294.488,0.400392,"blue","right",294.488,0,-294.488,294.488,1,294.488,299.8939,"refresher",0.2
"yes","2b","pair-3","right",24,101.841,0.339363,1,300.294,0,0,0,300,1,300.294,0,0,0,300,"blue","left",300.294,0,-300.294,300.294,1,300.294,300.294,"refresher",0.11
"yes","3a","pair-3","left",24,175.265,0.584033,3,298.492,0,2,1.80176,224.42,0,0,300,1,300.294,0,"blue","right",300.294,0,-300.294,300.294,1,300.294,300.29376,"refresher",0.2
"yes","3b","pair-3","right",24,232.323,0.774168,9,268.263,0,8,32.0314,2.40235,3,291.886,2.20216,0,0,300,"green","left",291.886,0,291.886,291.886,1,291.886,300.2944,"refresher",0.12
"yes","4a","pair-3","left",24,142.095,0.473501,1,300.294,0,0,0,300,0,0,300,1,300.294,0,"green","right",300.294,0,300.294,300.294,1,300.294,300.294,"refresher",0.21
"yes","4b","pair-3","right",24,267.281,0.89066,7,278.873,1.00098,7,21.421,0,1,300.294,0,0,0,300,"green","left",300.294,0,300.294,300.294,1,300.294,300.294,"refresher",0.11
"yes","5a","pair-3","left",24,320.256,1.06719,11,244.239,0.600588,12,56.0549,0,2,25.2247,0,1,253.248,47.0461,"green","right",253.248,25.2247,228.0233,228.0233,0.909417691572639,278.4727,300.2939,"refresher",0.18
